,Unnamed: 0,Rooms_Available,Total_Rooms,Price_per_Bed,Baths,Pet_Friendly,Square_Footage,Furnished,Parking_Included,Distance_to_Uni_km,Walk_Score,Transit_Score,Lease_Term_Months,Noise_Level,Internet_Available,Pet_Friendly_int,Furnished_int,Parking_Included_int,Internet_Available_int,Room_Density,Sqft_per_Room,Bathroom_Ratio,Available_Room_Pct,Room_Size_Variation,Occupancy_Rate,Bathroom_Accessibility,Total_Space_per_Bath,Room_Size_Score,Compactness_Index,Is_Studio,Is_High_Density,Luxury_Bath,Is_Overcrowded,Has_Extra_Bath,Is_Spacious,Is_Balanced,Is_New_Renovated,Is_Shared_Setup,Is_Luxury_Setup,Walk_Time,Bike_Time,Within_0.5km,Within_1km,Within_2km,Within_3km,Within_5km,Accessibility_Gap,Walk_Transit_Ratio,Accessibility_Score,Short_Lease_Flag,Long_Lease_Flag,Academic_Year_Lease,Amenity_Score,Missing_Amenities,Premium_Amenity_Count,Furnished_X_Parking,Furnished_X_Internet,Furnished_X_Pet,Parking_X_Internet,Parking_X_Pet,Internet_X_Pet,Has_1_Amenities,Has_2_Amenities,Has_3_Amenities,Has_4_Amenities,Luxury_Bath_Low_Amenities,High_Amenity_Small_Space,Low_Amenity_Large_Space,High_Density_Small,Low_Density_Large,Overcrowded_Flag,High_Amenity_Remote,Outlier_Rooms_Available,Extreme_Rooms_Available,Outlier_Total_Rooms,Extreme_Total_Rooms,Outlier_Price_per_Bed,Extreme_Price_per_Bed,Outlier_Baths,Extreme_Baths,Outlier_Square_Footage,Extreme_Square_Footage,Outlier_Distance_to_Uni_km,Extreme_Distance_to_Uni_km,Outlier_Walk_Score,Extreme_Walk_Score,Outlier_Transit_Score,Extreme_Transit_Score,Gender_Male Only,Sqft_Tier_large,Sqft_Tier_medium,Sqft_Tier_micro,Sqft_Tier_small,Sqft_Tier_spacious,Room_Tier_2bed,Room_Tier_3bed,Room_Tier_4+bed,Room_Tier_studio,Bath_Tier_1.5,Bath_Tier_2,Bath_Tier_3+,Uni_Proximity_commute,Uni_Proximity_on_campus,Uni_Proximity_transit,Uni_Proximity_walkable,Walk_Score_Tier_below_avg,Walk_Score_Tier_excellent,Walk_Score_Tier_good,Walk_Score_Tier_poor,Transit_Score_Tier_below_avg,Transit_Score_Tier_excellent,Transit_Score_Tier_good,Transit_Score_Tier_poor,Lease_Term_Tier_4-6,Lease_Term_Tier_7-9,Price
0,0,4,4,900.0,4,0,523,0,1,3.25,71,68,8,20.0,1,0,0,1,1,0.0076335877862595,127.56097560975611,0.9756097560975612,0.9975062344139652,32.6875,0.0024937655860348,2.092,127.56097560975611,3.890483525923168,0.0305343511450381,0,0,1,1,0,0,1,0,0,0,48.75,16.25,0,0,0,0,1,3,1.0289855072463767,69.80000000000001,0,0,1,2,2,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,2.431990034392892,0,0.1562175408381111,0,0.013739881107568,0,5.601628510173173,1,0.5056422267940216,0,1.0284758561799483,0,0.3395874160364684,0,0.0673583678524413,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3600.0
1,1,2,2,1050.0,2,0,617,1,1,2.7,67,70,8,23.25,1,0,1,1,1,0.0032362459546925,293.8095238095238,0.9523809523809524,0.9950248756218908,154.25,0.0049751243781093,1.234,293.8095238095238,5.849641883442585,0.0064724919093851,0,0,1,0,0,0,1,1,0,0,40.5,13.5,0,0,0,1,1,3,0.943661971830986,68.19999999999999,0,0,1,3,1,3,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0.5267882839871795,0,1.2343234127367404,0,0.0486678610532337,0,1.7207718452340204,0,0.0940725651337103,0,0.5111972705127708,0,0.1175985838505109,0,0.0577268092180163,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2100.0
2,2,1,4,975.0,1,1,626,1,0,1.41,56,72,4,36.73,1,1,1,0,1,0.0063795853269537,152.6829268292683,0.2439024390243902,0.2493765586034912,156.5,0.7506234413965087,0.626,569.090909090909,4.001985097326115,0.0255183413078149,0,0,0,1,0,0,0,0,1,0,21.15,7.05,0,0,1,1,1,16,0.7671232876712328,62.400000000000006,0,0,0,3,1,2,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.4258125912156768,0,0.1562175408381111,0,0.0312038710804009,0,0.2196564872355559,0,0.0546669592300635,0,0.7020561395066102,0,0.4928707046608721,0,0.1828119862884739,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,975.0
3,3,2,2,1300.0,2,0,655,1,0,1.43,85,72,8,20.0,1,0,1,0,1,0.0030487804878048,311.90476190476187,0.9523809523809524,0.9950248756218908,163.75,0.0049751243781093,1.31,311.90476190476187,5.903957980305784,0.0060975609756097,0,0,1,0,0,0,1,1,0,0,21.45,7.15,0,0,1,1,1,13,1.1643835616438356,79.8,0,0,1,2,2,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.5267882839871795,0,1.2343234127367404,0,0.1068811609626765,0,1.7207718452340204,0,0.0723066597927984,0,0.6832460091187128,0,1.1165483286873197,0,0.1828119862884739,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2600.0
4,4,2,4,425.0,2,1,588,1,1,3.88,87,41,12,22.88,1,1,1,1,1,0.0067911714770797,143.41463414634148,0.4878048780487805,0.4987531172069825,73.5,0.5012468827930174,1.176,280.0,3.963139015412473,0.0271646859083191,0,0,0,1,0,0,1,0,0,0,58.2,19.4,0,0,0,0,1,46,2.071428571428572,68.6,0,0,0,4,0,3,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0.5267882839871795,0,0.1562175408381111,0,0.0968653887203731,0,1.7207718452340204,0,0.2210461841565723,0,1.6209949633987155,0,1.2275427447802985,0,1.7560082583036196,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,850.0
5,5,5,7,160.0,2,1,555,1,1,1.48,56,86,12,24.64,1,1,1,1,1,0.0125899280575539,78.16901408450704,0.2816901408450704,0.7132667617689016,15.857142857142858,0.2867332382310984,1.11,264.2857142857143,3.039647024241169,0.0881294964028776,0,0,0,1,0,0,0,0,0,0,22.2,7.4,0,0,1,1,1,30,0.6436781609195402,68.0,0,0,0,4,0,3,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,3.3845909095957483,1,1.4609412670098323,0,0.1585714866243825,0,1.7207718452340204,0,0.3655334058032773,0,0.6362206831489693,0,0.4928707046608721,0,1.0584082257816774,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,800.0
6,6,2,2,1312.5,2,1,640,1,0,3.76,74,50,12,20.0,1,1,1,0,1,0.0031201248049922,304.7619047619048,0.9523809523809524,0.9950248756218908,160.0,0.0049751243781093,1.28,304.7619047619048,5.882902934533939,0.0062402496099844,0,0,1,0,0,0,1,1,0,0,56.4,18.8,0,0,0,0,1,24,1.4509803921568627,64.4,0,0,0,3,1,2,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.5267882839871795,0,1.2343234127367404,0,0.1097918259581486,0,1.7207718452340204,0,0.006630649953387,0,1.5081341810713311,0,0.5060790401759365,0,1.1931249614865602,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2625.0
7,7,2,2,1317.5,2,1,624,1,1,3.61,72,89,12,20.0,1,1,1,1,1,0.0032,297.1428571428571,0.9523809523809524,0.9950248756218908,156.0,0.0049751243781093,1.248,297.1428571428571,5.859894082871707,0.0064,0,0,1,0,0,0,1,1,0,0,54.15,18.05,0,0,0,0,1,17,0.8,78.8,0,0,0,4,0,3,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.5267882839871795,0,1.2343234127367404,0,0.1109560919563375,0,1.7207718452340204,0,0.063423760541985,0,1.367058203162101,0,0.3950846240829578,0,1.246035991387364,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2635.0
8,8,1,4,1006.0,1,0,611,1,0,2.59,87,71,4,29.9,1,0,1,0,1,0.0065359477124183,149.02439024390245,0.2439024390243902,0.2493765586034912,152.75,0.7506234413965087,0.611,555.4545454545454,3.986939932841345,0.0261437908496732,0,0,0,1,0,0,0,0,1,0,38.85,12.95,0,0,0,1,1,16,1.2083333333333333,80.6,0,0,0,2,2,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.4258125912156768,0,0.1562175408381111,0,0.0384223202691718,0,0.2196564872355559,0,0.1203429690694748,0,0.4077415533793349,0,1.2275427447802985,0,0.1202693977532451,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1006.0
9,9,1,1,1650.0,1,1,1500,1,1,2.06,87,42,4,20.0,1,1,1,1,1,0.0006662225183211,1363.6363636363635,0.9090909090909092,0.99009900990099,1500.0,0.0099009900990099,1.5,1363.6363636363635,10.55170826162069,0.0006662225183211,0,0,1,0,0,1,0,1,0,0,30.9,10.3,0,0,0,1,1,45,2.0232558139534884,69.0,0,0,0,4,0,3,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0.4258125912156768,0,1.773376348686055,0,0.1883797808358964,0,0.2196564872355559,0,3.7720552140796384,1,0.0907269018999453,0,1.2275427447802985,0,1.6934656697683907,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1650.0
