Price,Address,Description,Bed_Bath,Lease_Type,Room_Info,Gender,Scraped_At
$3600 / Month,,"590 Canewood Cres, Waterloo",4 Bed 2 Bath,Fall Lease,4 of 4 rooms,Coed,2025-08-02 18:56:08
$2100 / Month,"308 King St N, Waterloo",2 Bed 1 Bath apartment on 308 king,2 Bed 1 Bath,Fall Lease,2 of 2 rooms,Coed,2025-08-02 18:56:08
$975 / Month,"333 King St N, Waterloo",1 bedroom + ensuite lease takeover,,Fall Lease,1 of 4 rooms,Male Only,2025-08-02 18:56:09
$2600 / Month,"130 Columbia St W, Waterloo",The HUB 2b2b Fall Sublet,,Fall Lease,2 of 2 rooms,Coed,2025-08-02 18:56:09
$850 / Month,,2 bedrooms available in shared house,,Fall Lease,2 of 4 rooms,Male Only,2025-08-02 18:56:09
$800 / Month,"109 Blythwood Rd, Waterloo","109 Blythwood Rd, Waterloo",,Fall Lease,5 of 7 rooms,Coed,2025-08-02 18:56:09
$2625 / Month,"130 Columbia St W, Waterloo",Spacious 2 bed 2 bath with balcony attached,2 Bed 2 Bath,Fall Lease,2 of 2 rooms,Coed,2025-08-02 18:56:09
$2635 / Month,"130 Columbia St W, Waterloo",The HUB 2 Beds 2 Baths Lease Takeover,2 Bed 2 Bath,Fall Lease,2 of 2 rooms,Coed,2025-08-02 18:56:09
$1006 / Month,"350 Columbia St W, Waterloo",UWaterloo Columbia Lake Village South (CLVS) Single ...,,Fall Lease,1 of 4 rooms,Male Only,2025-08-02 18:56:09
$1650 / Month,,"368 Vogel Pl, Waterloo",,Fall Lease,1 of 1 rooms,Coed,2025-08-02 18:56:09
$1200 / Month,"308 King St N, Waterloo",1 bedroom in a 2b1b at 308 King,,Fall Lease,1 of 2 rooms,Male Only,2025-08-02 18:56:09
$900 / Month,"271 Lester St, Waterloo",,,Fall 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:56:09
$875 / Month,,"357 Anatolin Pl, Waterloo",,Fall Lease,1 of 4 rooms,Coed,2025-08-02 18:56:09
$900 / Month,"303 King St N, Waterloo",Furnished 1-Bedroom for Rent – Flexible Pricing ...,,Fall 4 Month,1 of 4 rooms,Male Only,2025-08-02 18:56:09
$705 / Month,"54 Dorset St, Waterloo",Room in Uptown Waterloo House,,Fall Lease,1 of 5 rooms,Male Only,2025-08-02 18:56:09
$4355 / Month,"255 Sunview St, Waterloo",4 bed apt for Spring '26 or lease take over (free ...,,Spring 4 Month,4 of 4 rooms,Coed,2025-08-02 18:56:09
$4355 / Month,"255 Sunview St, Waterloo",Fall Lease4 Rooms (of 4)Coed,,Fall Lease,4 of 4 rooms,Coed,2025-08-02 18:56:09
